FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c87,1970,Contenedor aceite Cl Jerez Perchet,,"CALLE JEREZ PERCHET, 9 ",POINT (-4.420808539688334 36.745843907232974),,,,,,OTRAS,No,No,,-4.420808539688334,36.745843907232974
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c86,2022,Contenedor aceite Pso Limonar,,"PASEO DEL LIMONAR, 26 ",POINT (-4.398506523129174 36.72614889291521),,,,,,OTRAS,No,No,,-4.398506523129174,36.72614889291521
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c85,2023,Contenedor aceite Av Juan Sebastian Elcano,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 89 ",POINT (-4.371917285264331 36.72246255816758),,,,,,OTRAS,No,No,,-4.371917285264331,36.72246255816758
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c84,2006,Contenedor aceite Cl Armengual De La Mota,,"CALLE ARMENGUAL DE LA MOTA, 1 ",POINT (-4.429868616253869 36.71732748546784),,,,,,OTRAS,No,No,,-4.429868616253869,36.71732748546784
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c83,2001,Contenedor aceite Cl Alfambra,,"CALLE ALFAMBRA, 3 ",POINT (-4.441742272539523 36.71046728252099),,,,,,OTRAS,No,No,,-4.441742272539523,36.71046728252099
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c82,2000,Contenedor aceite Pl Rio Trabanco,,"PLAZA DEL RÍO TRABANCO, 7 ",POINT (-4.446218487138983 36.709781448567355),,,,,,OTRAS,No,No,,-4.446218487138983,36.709781448567355
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c81,1973,Contenedor aceite Cl Emilio Benavent,,"CALLE EMILIO BENAVENT, 3 ",POINT (-4.450260068452044 36.727783556227266),,,,,,OTRAS,No,No,,-4.450260068452044,36.727783556227266
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c80,2016,Contenedor aceite Av de los Guindos,,"AVENIDA DE LOS GUINDOS, 31 ",POINT (-4.447535388814466 36.690993985848166),,,,,,OTRAS,No,No,,-4.447535388814466,36.690993985848166
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7f,1955,Contenedor aceite Cl Cuarteles,,"CALLE CUARTELES, 51 ",POINT (-4.4300451117280515 36.71187720788326),,,,,,OTRAS,No,No,,-4.4300451117280515,36.71187720788326
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7e,2047,Contenedor aceite Cl Juan De Robles,,"CALLE JUAN DE ROBLES, 22 ",POINT (-4.458161059161826 36.72278157994365),,,,,,OTRAS,No,No,,-4.458161059161826,36.72278157994365
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7d,2037,Contenedor aceite Cl Jose Calderon 27,,"CALLE JOSÉ CALDERÓN, 27 ",POINT (-4.5378048655135474 36.72302543378082),,,,,,OTRAS,No,No,,-4.5378048655135474,36.72302543378082
