FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry,lon,lat
da_envases.fid-7e811540_18cccdec071_3550,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-02-14T09:55:13,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.44907463400421 36.68881695383965),-4.44907463400421,36.68881695383965
da_envases.fid-7e811540_18cccdec071_3551,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-09-27T08:26:37.4,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.42337046538983 36.75107907994509),-4.42337046538983,36.75107907994509
da_envases.fid-7e811540_18cccdec071_3552,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-09-01T07:43:46.61,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.436504579204252 36.73146646696202),-4.436504579204252,36.73146646696202
da_envases.fid-7e811540_18cccdec071_3553,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-06-05T08:24:29.877,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.450730352333396 36.71929206587264),-4.450730352333396,36.71929206587264
da_envases.fid-7e811540_18cccdec071_3554,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-31T10:40:33.837,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.435251661895717 36.73049913637171),-4.435251661895717,36.73049913637171
da_envases.fid-7e811540_18cccdec071_3555,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-08T06:14:15.563,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.429059505725857 36.726884177602095),-4.429059505725857,36.726884177602095
da_envases.fid-7e811540_18cccdec071_3556,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-31T10:33:41.113,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.4282924049893335 36.72683823144304),-4.4282924049893335,36.72683823144304
da_envases.fid-7e811540_18cccdec071_3557,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-09-27T08:03:36.727,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.426961059917274 36.72861418745435),-4.426961059917274,36.72861418745435
da_envases.fid-7e811540_18cccdec071_3558,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-31T10:42:50,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.428086263513324 36.7322328587019),-4.428086263513324,36.7322328587019
da_envases.fid-7e811540_18cccdec071_3559,ENVASES,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-31T10:43:28.817,Contenedor de ENVASES de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.428131851463793 36.731275202932814),-4.428131851463793,36.731275202932814
