FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry,lon,lat
da_papelCarton.fid-7e811540_18cccdec071_-1fbe,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T11:59:19.197,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.433238883297008 36.71459380725724),-4.433238883297008,36.71459380725724
da_papelCarton.fid-7e811540_18cccdec071_-1fbd,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-06T07:44:19.997,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.439723942777868 36.70486231498632),-4.439723942777868,36.70486231498632
da_papelCarton.fid-7e811540_18cccdec071_-1fbc,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T11:59:34.143,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.434501372712359 36.712735580815576),-4.434501372712359,36.712735580815576
da_papelCarton.fid-7e811540_18cccdec071_-1fbb,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T11:59:58.54,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.434921616308694 36.71545437066293),-4.434921616308694,36.71545437066293
da_papelCarton.fid-7e811540_18cccdec071_-1fba,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T12:01:29.173,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.433996605012222 36.71562369526525),-4.433996605012222,36.71562369526525
da_papelCarton.fid-7e811540_18cccdec071_-1fb9,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T12:02:05.583,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.432493925294336 36.71619857919427),-4.432493925294336,36.71619857919427
da_papelCarton.fid-7e811540_18cccdec071_-1fb8,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T12:03:09.963,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.431204802337024 36.715545235565266),-4.431204802337024,36.715545235565266
da_papelCarton.fid-7e811540_18cccdec071_-1fb7,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T12:03:57.8,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.430422285146454 36.71616042903976),-4.430422285146454,36.71616042903976
da_papelCarton.fid-7e811540_18cccdec071_-1fb6,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-05T12:04:23.47,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.427628132620402 36.7157481720039),-4.427628132620402,36.7157481720039
da_papelCarton.fid-7e811540_18cccdec071_-1fb5,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-03-03T10:32:05.287,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.4283133967088775 36.71233216542641),-4.4283133967088775,36.71233216542641
da_papelCarton.fid-7e811540_18cccdec071_-1fb4,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-03-03T10:33:57.397,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.427420912923602 36.713208628124015),-4.427420912923602,36.713208628124015
da_papelCarton.fid-7e811540_18cccdec071_-1fb3,PAPEL/CARTON,CARGA LATERAL-FORMATO VERDE,2900,1,2023-03-03T10:33:08.607,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.426839222947293 36.713810400711196),-4.426839222947293,36.713810400711196
