FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry,lon,lat
da_industria.fid-7e811540_18cccdec071_61ba,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:20.01,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.524970940948391 36.71884511388481),-4.524970940948391,36.71884511388481
da_industria.fid-7e811540_18cccdec071_61bb,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:20.01,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.524970940948391 36.71884511388481),-4.524970940948391,36.71884511388481
da_industria.fid-7e811540_18cccdec071_61bc,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:30.51,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.503381115926426 36.71999314332896),-4.503381115926426,36.71999314332896
da_industria.fid-7e811540_18cccdec071_61bd,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:30.51,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.503381115926426 36.71999314332896),-4.503381115926426,36.71999314332896
da_industria.fid-7e811540_18cccdec071_61be,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:33.14,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.501614591233294 36.72215839483374),-4.501614591233294,36.72215839483374
da_industria.fid-7e811540_18cccdec071_61bf,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:33.14,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.501614591233294 36.72215839483374),-4.501614591233294,36.72215839483374
da_industria.fid-7e811540_18cccdec071_61c0,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:35.733,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.50264469759099 36.71841960078769),-4.50264469759099,36.71841960078769
da_industria.fid-7e811540_18cccdec071_61c1,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:35.733,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.50264469759099 36.71841960078769),-4.50264469759099,36.71841960078769
da_industria.fid-7e811540_18cccdec071_61c2,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:38.59,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.503678180156042 36.721169425878934),-4.503678180156042,36.721169425878934
da_industria.fid-7e811540_18cccdec071_61c3,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:38.59,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.503678180156042 36.721169425878934),-4.503678180156042,36.721169425878934
da_industria.fid-7e811540_18cccdec071_61c4,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:41.26,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.5008152882142545 36.720842119131746),-4.5008152882142545,36.720842119131746
da_industria.fid-7e811540_18cccdec071_61c5,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-18T19:09:41.26,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.5008152882142545 36.720842119131746),-4.5008152882142545,36.720842119131746
da_industria.fid-7e811540_18cccdec071_61c6,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:32.213,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.463866791755157 36.66858399354431),-4.463866791755157,36.66858399354431
da_industria.fid-7e811540_18cccdec071_61c7,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:35.22,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.462186405309701 36.667925946135654),-4.462186405309701,36.667925946135654
da_industria.fid-7e811540_18cccdec071_61c8,INDUSTRIA,CARGA TRASERA,5000,1,2022-04-01T07:48:07.57,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.457906327991268 36.66660607514491),-4.457906327991268,36.66660607514491
da_industria.fid-7e811540_18cccdec071_61c9,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:41.497,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.460594537472379 36.66762099443934),-4.460594537472379,36.66762099443934
da_industria.fid-7e811540_18cccdec071_61ca,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:44.5,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.462451286665376 36.669706484351195),-4.462451286665376,36.669706484351195
da_industria.fid-7e811540_18cccdec071_61cb,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:47.34,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.458946332075174 36.66604453808737),-4.458946332075174,36.66604453808737
da_industria.fid-7e811540_18cccdec071_61cc,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:50.633,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.461728416062732 36.66692903330293),-4.461728416062732,36.66692903330293
da_industria.fid-7e811540_18cccdec071_61cd,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:53.567,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.464145718884885 36.6666563203933),-4.464145718884885,36.6666563203933
da_industria.fid-7e811540_18cccdec071_61ce,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:19:56.537,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.462354025404327 36.66632447241456),-4.462354025404327,36.66632447241456
da_industria.fid-7e811540_18cccdec071_61cf,INDUSTRIA,CARGA TRASERA,5000,1,2022-04-01T07:51:04.123,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.461672075535187 36.6653573922054),-4.461672075535187,36.6653573922054
da_industria.fid-7e811540_18cccdec071_61d0,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:03.063,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.459188053652362 36.665132848318486),-4.459188053652362,36.665132848318486
da_industria.fid-7e811540_18cccdec071_61d1,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:06.093,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.464251656426547 36.66580891431728),-4.464251656426547,36.66580891431728
da_industria.fid-7e811540_18cccdec071_61d2,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:09.447,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.463506671506607 36.664522867032616),-4.463506671506607,36.664522867032616
da_industria.fid-7e811540_18cccdec071_61d3,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:12.28,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.473828944895047 36.65811882730745),-4.473828944895047,36.65811882730745
da_industria.fid-7e811540_18cccdec071_61d4,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:15.12,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.488566738191904 36.65215535017742),-4.488566738191904,36.65215535017742
da_industria.fid-7e811540_18cccdec071_61d5,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:18.27,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.488191245351231 36.653224010607225),-4.488191245351231,36.653224010607225
da_industria.fid-7e811540_18cccdec071_61d6,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:21.45,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.492095494766951 36.65481281845382),-4.492095494766951,36.65481281845382
da_industria.fid-7e811540_18cccdec071_61d7,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:24.327,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.490548846625731 36.65072164825222),-4.490548846625731,36.65072164825222
da_industria.fid-7e811540_18cccdec071_61d8,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:27.387,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.491074233742102 36.65239391758783),-4.491074233742102,36.65239391758783
da_industria.fid-7e811540_18cccdec071_61d9,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:30.62,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.4905941388154975 36.65369712341519),-4.4905941388154975,36.65369712341519
da_industria.fid-7e811540_18cccdec071_61da,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:33.447,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.493694382535286 36.65283179751559),-4.493694382535286,36.65283179751559
da_industria.fid-7e811540_18cccdec071_61db,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:36.287,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.495905822200183 36.651971310270746),-4.495905822200183,36.651971310270746
da_industria.fid-7e811540_18cccdec071_61dc,INDUSTRIA,CARGA TRASERA,5000,1,2021-08-19T04:20:39.453,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (-4.5005748841873485 36.65903228142759),-4.5005748841873485,36.65903228142759
