FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry,lon,lat
da_rsu.fid-7e811540_18cccdeae72_-2933,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-29T09:58:38.633,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.434840507595632 36.718463080426616),-4.434840507595632,36.718463080426616
da_rsu.fid-7e811540_18cccdeae72_-2932,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-29T07:29:07.373,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.414965082025319 36.73110439038688),-4.414965082025319,36.73110439038688
da_rsu.fid-7e811540_18cccdeae72_-2931,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-23T07:59:19.7,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.36279698557454 36.720372733097356),-4.36279698557454,36.720372733097356
da_rsu.fid-7e811540_18cccdeae72_-2930,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-08-25T10:09:26.473,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.467604988479396 36.72211744965639),-4.467604988479396,36.72211744965639
da_rsu.fid-7e811540_18cccdeae72_-292f,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-02-14T10:13:56.34,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.455776237130993 36.68972179568131),-4.455776237130993,36.68972179568131
da_rsu.fid-7e811540_18cccdeae72_-292e,RSU,CARGA LATERAL-FORMATO VERDE,2900,1,2023-10-30T11:09:56.5,Contenedor de RSU de tipo CARGA LATERAL-FORMATO VERDE,POINT (-4.477474400996589 36.721471618277775),-4.477474400996589,36.721471618277775
da_rsu.fid-7e811540_18cccdeae72_-292d,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T10:26:18.103,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.442008303312387 36.72230847187357),-4.442008303312387,36.72230847187357
da_rsu.fid-7e811540_18cccdeae72_-292c,RSU,CARGA TRASERA-SULO,1100,1,2023-08-07T05:18:59.617,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.437133848325243 36.72777331383294),-4.437133848325243,36.72777331383294
da_rsu.fid-7e811540_18cccdeae72_-292b,RSU,CARGA TRASERA-SULO,1100,1,2023-06-08T07:27:48.953,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.440159669095674 36.7276617771973),-4.440159669095674,36.7276617771973
da_rsu.fid-7e811540_18cccdeae72_-292a,RSU,CARGA TRASERA-SULO,1100,1,2023-06-15T10:54:45.44,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.427461353083386 36.735987595251274),-4.427461353083386,36.735987595251274
da_rsu.fid-7e811540_18cccdeae72_-2929,RSU,CARGA TRASERA-SULO,1100,1,2023-10-30T09:50:17.26,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.426403809365065 36.72539224950783),-4.426403809365065,36.72539224950783
da_rsu.fid-7e811540_18cccdeae72_-2928,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T10:43:18.867,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.436165544612104 36.723443639638894),-4.436165544612104,36.723443639638894
da_rsu.fid-7e811540_18cccdeae72_-2927,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T07:14:28.583,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43688235593618 36.72362556608711),-4.43688235593618,36.72362556608711
da_rsu.fid-7e811540_18cccdeae72_-2926,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T07:10:39.17,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.437116035943137 36.723206074521904),-4.437116035943137,36.723206074521904
da_rsu.fid-7e811540_18cccdeae72_-2925,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:57:12.697,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.439384796235517 36.72116904166758),-4.439384796235517,36.72116904166758
da_rsu.fid-7e811540_18cccdeae72_-2924,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:57:27.787,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.439244651450767 36.72101344224183),-4.439244651450767,36.72101344224183
da_rsu.fid-7e811540_18cccdeae72_-2923,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:56:25.59,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.438910718259002 36.7206632747285),-4.438910718259002,36.7206632747285
da_rsu.fid-7e811540_18cccdeae72_-2922,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:55:46.2,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.438718605995042 36.72044962594343),-4.438718605995042,36.72044962594343
da_rsu.fid-7e811540_18cccdeae72_-2921,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:58:52.27,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.438164068807658 36.720581313229445),-4.438164068807658,36.720581313229445
da_rsu.fid-7e811540_18cccdeae72_-2920,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:58:31.94,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.437493864944912 36.72091885682569),-4.437493864944912,36.72091885682569
da_rsu.fid-7e811540_18cccdeae72_-291f,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T10:00:26.83,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.436781170092063 36.71983304871784),-4.436781170092063,36.71983304871784
da_rsu.fid-7e811540_18cccdeae72_-291e,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T10:00:09.327,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.436053855828532 36.71871247171868),-4.436053855828532,36.71871247171868
da_rsu.fid-7e811540_18cccdeae72_-291d,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:58:44.573,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4381041562854655 36.72051003462171),-4.4381041562854655,36.72051003462171
da_rsu.fid-7e811540_18cccdeae72_-291c,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:55:33.993,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43840847738972 36.72013385480824),-4.43840847738972,36.72013385480824
da_rsu.fid-7e811540_18cccdeae72_-291b,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:55:26.46,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.438152663441598 36.71989978038645),-4.438152663441598,36.71989978038645
da_rsu.fid-7e811540_18cccdeae72_-291a,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:54:53.62,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43720853087997 36.71887747575152),-4.43720853087997,36.71887747575152
da_rsu.fid-7e811540_18cccdeae72_-2919,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:01:10.937,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4369419876017915 36.71856868536233),-4.4369419876017915,36.71856868536233
da_rsu.fid-7e811540_18cccdeae72_-2918,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:59:53.617,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.435574759244135 36.71935746873699),-4.435574759244135,36.71935746873699
da_rsu.fid-7e811540_18cccdeae72_-2917,RSU,CARGA TRASERA-SULO,1100,1,2023-10-26T09:59:46.23,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.435713898098609 36.71950904063118),-4.435713898098609,36.71950904063118
da_rsu.fid-7e811540_18cccdeae72_-2916,RSU,CARGA TRASERA-SULO,1100,1,2023-04-26T06:56:58.94,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.436507492393613 36.72036149253162),-4.436507492393613,36.72036149253162
da_rsu.fid-7e811540_18cccdeae72_-2915,RSU,CARGA TRASERA-SULO,1100,1,2023-09-14T05:32:38.863,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.436784764358294 36.72067054439164),-4.436784764358294,36.72067054439164
da_rsu.fid-7e811540_18cccdeae72_-2914,RSU,CARGA TRASERA-SULO,1100,1,2023-09-14T05:32:49.243,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4368608731176735 36.720917785919944),-4.4368608731176735,36.720917785919944
da_rsu.fid-7e811540_18cccdeae72_-2913,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:53:12.64,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.435702197348321 36.72105804530272),-4.435702197348321,36.72105804530272
da_rsu.fid-7e811540_18cccdeae72_-2912,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:48:39.627,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.434903554871757 36.720288673483424),-4.434903554871757,36.720288673483424
da_rsu.fid-7e811540_18cccdeae72_-2911,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:47:47.267,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.434798946021767 36.71981057872097),-4.434798946021767,36.71981057872097
da_rsu.fid-7e811540_18cccdeae72_-2910,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:48:25.5,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4351932276391866 36.72012661937297),-4.4351932276391866,36.72012661937297
da_rsu.fid-7e811540_18cccdeae72_-290f,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:48:04.063,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.433213454060963 36.7203703821831),-4.433213454060963,36.7203703821831
da_rsu.fid-7e811540_18cccdeae72_-290e,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:48:26.327,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.433413612711652 36.720574087665774),-4.433413612711652,36.720574087665774
da_rsu.fid-7e811540_18cccdeae72_-290d,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:48:38.67,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.433604048373679 36.72076328063647),-4.433604048373679,36.72076328063647
da_rsu.fid-7e811540_18cccdeae72_-290c,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:53:30.34,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4350983531373815 36.72093338418804),-4.4350983531373815,36.72093338418804
da_rsu.fid-7e811540_18cccdeae72_-290b,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:51:45.717,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4348388560121155 36.72122228119966),-4.4348388560121155,36.72122228119966
da_rsu.fid-7e811540_18cccdeae72_-290a,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:51:28.87,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43474799665325 36.72112714801139),-4.43474799665325,36.72112714801139
da_rsu.fid-7e811540_18cccdeae72_-2909,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:49:01.577,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.434465024898986 36.72080466128367),-4.434465024898986,36.72080466128367
da_rsu.fid-7e811540_18cccdeae72_-2908,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:49:42.697,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43443374452122 36.71932804660523),-4.43443374452122,36.71932804660523
da_rsu.fid-7e811540_18cccdeae72_-2907,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:49:38.377,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.433226235710518 36.72118305988973),-4.433226235710518,36.72118305988973
da_rsu.fid-7e811540_18cccdeae72_-2906,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:48:46.26,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.433552416898753 36.7207939174832),-4.433552416898753,36.7207939174832
da_rsu.fid-7e811540_18cccdeae72_-2905,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:48:09.713,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43316450489355 36.72041660624359),-4.43316450489355,36.72041660624359
da_rsu.fid-7e811540_18cccdeae72_-2904,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:47:53.6,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432767540311852 36.720009462628205),-4.432767540311852,36.720009462628205
da_rsu.fid-7e811540_18cccdeae72_-2903,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:47:30.7,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432633770590535 36.72039699143446),-4.432633770590535,36.72039699143446
da_rsu.fid-7e811540_18cccdeae72_-2902,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:47:21.17,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432620361696358 36.72061655399062),-4.432620361696358,36.72061655399062
da_rsu.fid-7e811540_18cccdeae72_-2901,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:47:06.99,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.4325811394275005 36.72110969381981),-4.4325811394275005,36.72110969381981
da_rsu.fid-7e811540_18cccdeae72_-2900,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:54:07.4,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43421022480575 36.72144506978227),-4.43421022480575,36.72144506978227
da_rsu.fid-7e811540_18cccdeae72_-28ff,RSU,CARGA TRASERA-SULO,1100,1,2023-10-27T09:54:00.59,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.434536778895058 36.72144990498347),-4.434536778895058,36.72144990498347
da_rsu.fid-7e811540_18cccdeae72_-28fe,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:49:55.2,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432446362690376 36.72134914137225),-4.432446362690376,36.72134914137225
da_rsu.fid-7e811540_18cccdeae72_-28fd,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:50:15.973,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432477204873495 36.72105460283007),-4.432477204873495,36.72105460283007
da_rsu.fid-7e811540_18cccdeae72_-28fc,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:50:23.583,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432499329117577 36.7206485350498),-4.432499329117577,36.7206485350498
da_rsu.fid-7e811540_18cccdeae72_-28fb,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:50:29.693,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.432508240414374 36.72051007052202),-4.432508240414374,36.72051007052202
da_rsu.fid-7e811540_18cccdeae72_-28fa,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:50:44.923,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43254190384191 36.72011857408513),-4.43254190384191,36.72011857408513
da_rsu.fid-7e811540_18cccdeae72_-28f9,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:51:10.113,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.431544474861617 36.720400223336334),-4.431544474861617,36.720400223336334
da_rsu.fid-7e811540_18cccdeae72_-28f8,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:44:49.607,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.43115355198022 36.72076275886605),-4.43115355198022,36.72076275886605
da_rsu.fid-7e811540_18cccdeae72_-28f7,RSU,CARGA TRASERA-SULO,1100,1,2023-10-24T07:45:58.17,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.431001341093673 36.72100785153543),-4.431001341093673,36.72100785153543
da_rsu.fid-7e811540_18cccdeae72_-28f6,RSU,CARGA TRASERA-SULO,1100,1,2023-10-06T07:49:15.763,Contenedor de RSU de tipo CARGA TRASERA-SULO,POINT (-4.430854159718601 36.72128976026487),-4.430854159718601,36.72128976026487
