FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,referencia,direccion,lat,lon
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-420e,10867,POINT (376614.0898563231 4065288.922467877),MLG0365,Cerrado de Calderón,,,,,-1,0,-1,,,MLG0365,Cerrado de Calderón,36.725295,-4.381738
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-420d,10868,POINT (376478.9402421902 4065393.622346991),MLG0366,Rodeo,,,,,-1,0,-1,,,MLG0366,Rodeo,36.726221,-4.383268
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-420c,10869,POINT (376342.50736161135 4065866.5105895954),MLG0367,Flamencos,,,,,-1,0,-1,,,MLG0367,Flamencos,36.730465,-4.384872
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-420b,10870,POINT (376281.9470457399 4066113.16448125),MLG0368,Flamencos vs Arces,,,,,-1,0,-1,,,MLG0368,Flamencos vs Arces,36.732680,-4.385590
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-420a,10871,POINT (376427.05794975196 4066278.506221708),MLG0369,Meridiana,,,,,-1,0,-1,,,MLG0369,Meridiana,36.734189,-4.383992
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-4209,10872,POINT (376302.70706432185 4066622.1743439767),MLG0370,Cardos vs Alcaparrón,,,,,-1,0,-1,,,MLG0370,Cardos vs Alcaparrón,36.737270,-4.385440
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-4208,10873,POINT (376259.64357749396 4066485.2059385087),MLG0371,Alcaparron,,,,,-1,0,-1,,,MLG0371,Alcaparron,36.736030,-4.385900
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-4207,10874,POINT (376464.51030895684 4065421.127025034),MLG0372,Flamencos,,,,,-1,0,-1,,,MLG0372,Flamencos,36.726467,-4.383434
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-4206,10875,POINT (376751.8857315382 4066433.7127800905),MLG0373,De la Sierra,,,,,-1,0,-1,,,MLG0373,De la Sierra,36.735630,-4.380380
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-4205,10876,POINT (376751.1034046783 4066205.9219926917),MLG0374,Liebre,,,,,-1,0,-1,,,MLG0374,Liebre,36.733577,-4.380352
